question,answer,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"In Professor Plum's biology class there are 40 students. Of those students, 80 percent have puppies. Of those who have puppies, 25% also have parrots. How many students have both puppies and parrots?","We start with the initial numbers of students, 40 and multiply that by .8 for 40 * 0.8 = <<40*0.8=32>>32 who own puppies.
That the number of students with puppies, 32, and multiply that by .25 to find out how many own both puppies and parrots, 32 * 0.25 = <<32*0.25=8>>8 who own puppies and parrots.
The answer is <<8=8>>8.
#### 8","Question: In Professor Plum's biology class there are 40 students. Of those students, 80 percent have puppies. Of those who have puppies, 25% also have parrots. How many students have both puppies and parrots?","A)
Question: In Professor Plum's biology course there are 40 pupils. Of those pupils, 80 percent possess dogs. Of those who possess dogs, 25% additionally have parakeets. How many pupils have both dogs and parakeets?

B)
Question: In Professor Plum's biology lecture there are 40 learners. Of those learners, 80 percent own pooches. Of those who own pooches, 25% also own birds. How many learners have both pooches and birds?

C)
Question: In Professor Plum's life science subject there are 40 scholars. Of those scholars, 80 percent have hounds. Of those who have hounds, 25% also keep cockatoos. How many scholars have both hounds and cockatoos?

D)
Question: In Professor Plum's biological studies, there are 40 participants. Of these participants, 80 percent harbor canines. Among those who harbor canines, 25% also maintain macaws. How many participants have both canines and macaws?","Question: In Professor Plum's biology course there are 40 pupils. Of those pupils, 80 percent possess dogs. Of those who possess dogs, 25% additionally have parakeets. How many pupils have both dogs and parakeets?","Question: In Professor Plum's biology lecture there are 40 learners. Of those learners, 80 percent own pooches. Of those who own pooches, 25% also own birds. How many learners have both pooches and birds?","Question: In Professor Plum's life science subject there are 40 scholars. Of those scholars, 80 percent have hounds. Of those who have hounds, 25% also keep cockatoos. How many scholars have both hounds and cockatoos?","Question: In Professor Plum's biological studies, there are 40 participants. Of these participants, 80 percent harbor canines. Among those who harbor canines, 25% also maintain macaws. How many participants have both canines and macaws?",A,A,A,A
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought 15 + 20 = <<15+20=35>>35 apples.
Therefore, they bought 15 + 35 = <<15+35=50>>50 apples altogether.
#### 50","Question: Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","A)
Question: Diane purchased twenty additional apples than Cecile. If Cecile purchased 15 apples, how many apples did they purchase in total?

B)
Question: Diane acquired twenty more apples than Cecile. If Cecile acquired 15 apples, how many apples did they collectively acquire?

C)
Question: Diane secured twenty extra apples than Cecile. If Cecile secured 15 apples, how many apples did they accumulate all together?

D)
Question: Diane procured twenty further apples than Cecile. If Cecile procured 15 apples, how many apples did they amass altogether?","Question: Diane purchased twenty additional apples than Cecile. If Cecile purchased 15 apples, how many apples did they purchase in total?","Question: Diane acquired twenty more apples than Cecile. If Cecile acquired 15 apples, how many apples did they collectively acquire?","Question: Diane secured twenty extra apples than Cecile. If Cecile secured 15 apples, how many apples did they accumulate all together?","Question: Diane procured twenty further apples than Cecile. If Cecile procured 15 apples, how many apples did they amass altogether?",A,B,C,D
"Ann can skate 6 miles an hour. Her friend Glenda can skate 8 miles an hour. If they start in the same place and skate in straight lines in opposite directions for 3 hours, how many miles apart do they end up?","First find how far Glenda goes in 3 hours by multiplying her speed by the number of hours she travels: 3 hours * 8 miles/hour = <<3*8=24>>24 miles
Then do the same thing for Ann: 3 hours * 6 miles/hour = <<3*6=18>>18 miles
Now add the number of miles both people skated to find the total distance between them: 18 miles + 24 miles = <<18+24=42>>42 miles
#### 42","Question: Ann can skate 6 miles an hour. Her friend Glenda can skate 8 miles an hour. If they start in the same place and skate in straight lines in opposite directions for 3 hours, how many miles apart do they end up?","A)
Question: Ann can glide 6 miles an hour. Her mate Glenda can glide 8 miles an hour. If they commence at the same spot and glide in straight paths in contrasting directions for 3 hours, how many miles apart do they end up?

B)
Question: Ann can slide 6 miles an hour. Her companion Glenda can slide 8 miles an hour. If they initiate at the same location and slide in straight courses in differing directions for 3 hours, how many miles apart do they end up?

C)
Question: Ann can coast 6 miles an hour. Her buddy Glenda can coast 8 miles an hour. If they begin at the same point and coast in straight routes in contrary directions for 3 hours, how many miles apart do they end up?

D)
Question: Ann can slither 6 miles an hour. Her pal Glenda can slither 8 miles an hour. If they start at the same position and slither in straight tracks in divergent directions for 3 hours, how many miles apart do they end up?","Question: Ann can glide 6 miles an hour. Her mate Glenda can glide 8 miles an hour. If they commence at the same spot and glide in straight paths in contrasting directions for 3 hours, how many miles apart do they end up?","Question: Ann can slide 6 miles an hour. Her companion Glenda can slide 8 miles an hour. If they initiate at the same location and slide in straight courses in differing directions for 3 hours, how many miles apart do they end up?","Question: Ann can coast 6 miles an hour. Her buddy Glenda can coast 8 miles an hour. If they begin at the same point and coast in straight routes in contrary directions for 3 hours, how many miles apart do they end up?","Question: Ann can slither 6 miles an hour. Her pal Glenda can slither 8 miles an hour. If they start at the same position and slither in straight tracks in divergent directions for 3 hours, how many miles apart do they end up?",A,B,C,D
"Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?","When Jonah ran for 2 hours, burning 30 calories every hour, he burnt a total of 2*30=<<2*30=60>>60 calories.
If he had run for five hours, losing 30 calories every hour, Jonah would have burnt 5*30=<<5*30=150>>150 calories.
The difference in the number of calories Jonah would have burnt if he ran for five hours instead of 2 hours is 150-60=<<150-60=90>>90 calories.
#### 90","Question: Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?","A)
Question: Jogging for 2 hours, Jonah expended 30 calories every hour. How many additional calories would he have burned if he would have jogged for five hours?

B)
Question: Sprinting for 2 hours, Jonah consumed 30 calories each hour. How many extra calories would he have depleted if he would have sprinted for five hours?

C)
Question: Running for 2 hours, Jonah used up 30 calories per hour. How many supplementary calories would he have lost if he would have run for five hours?

D)
Question: Jogging for 2 hours, Jonah spent 30 calories an hour. How many further calories would he have reduced if he would have jogged for five hours?","Question: Jogging for 2 hours, Jonah expended 30 calories every hour. How many additional calories would he have burned if he would have jogged for five hours?","Question: Sprinting for 2 hours, Jonah consumed 30 calories each hour. How many extra calories would he have depleted if he would have sprinted for five hours?","Question: Running for 2 hours, Jonah used up 30 calories per hour. How many supplementary calories would he have lost if he would have run for five hours?","Question: Jogging for 2 hours, Jonah spent 30 calories an hour. How many further calories would he have reduced if he would have jogged for five hours?",E,A,A,E
"The city of Richmond has 1000 more people than Victoria. Victoria has 4 times as many people as Beacon. If Richmond has 3000 people, how many people are there in Beacon?","Victoria has 3000-1000=<<3000-1000=2000>>2000 people.
Beacon has 2000/4=<<2000/4=500>>500 people.
#### 500","Question: The city of Richmond has 1000 more people than Victoria. Victoria has 4 times as many people as Beacon. If Richmond has 3000 people, how many people are there in Beacon?","A)
Question: The city of Richmond contains 1000 additional people compared to Victoria. Victoria's population is 4 times that of Beacon. If Richmond has a population of 3000, how many inhabitants does Beacon have?

B)
Question: The metropolis of Richmond hosts 1000 extra inhabitants than Victoria. Victoria accommodates 4 times the population of Beacon. If Richmond accommodates 3000 people, what is the population count in Beacon?

C)
Question: The urban area of Richmond possesses 1000 more citizens compared to Victoria. Victoria holds 4 times the number of citizens as Beacon. If Richmond boasts 3000 citizens, how many citizens reside in Beacon?

D)
Question: The city of Richmond carries 1000 surplus people than Victoria. Victoria holds a population 4 times that of Beacon. If Richmond's population equals 3000, how many individuals reside in Beacon?","Question: The city of Richmond contains 1000 additional people compared to Victoria. Victoria's population is 4 times that of Beacon. If Richmond has a population of 3000, how many inhabitants does Beacon have?","Question: The metropolis of Richmond hosts 1000 extra inhabitants than Victoria. Victoria accommodates 4 times the population of Beacon. If Richmond accommodates 3000 people, what is the population count in Beacon?","Question: The urban area of Richmond possesses 1000 more citizens compared to Victoria. Victoria holds 4 times the number of citizens as Beacon. If Richmond boasts 3000 citizens, how many citizens reside in Beacon?","Question: The city of Richmond carries 1000 surplus people than Victoria. Victoria holds a population 4 times that of Beacon. If Richmond's population equals 3000, how many individuals reside in Beacon?",A,B,C,D
"To get his fill of oysters, Crabby has to eat at least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they eat altogether?","If Squido eats 200 oysters, when Crabby eats twice as many oysters as Squido does, he eats 2*200 = 400 oysters.
Together, they eat 400+200 = <<400+200=600>>600 oysters.
#### 600","Question: To get his fill of oysters, Crabby has to eat at least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they eat altogether?","A)
Question: To satisfy his craving for oysters, Crabby needs to consume at least double the number of oysters that Squido does. If Squido consumes 200 oysters, how many oysters do they eat in total?

B)
Question: To satiate his hunger for oysters, Crabby must eat at least two times as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they consume collectively?

C)
Question: To quench his appetite for oysters, Crabby has to eat at the very least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they eat combined?

D)
Question: To appease his desire for oysters, Crabby is required to eat at least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they consume together?","Question: To satisfy his craving for oysters, Crabby needs to consume at least double the number of oysters that Squido does. If Squido consumes 200 oysters, how many oysters do they eat in total?","Question: To satiate his hunger for oysters, Crabby must eat at least two times as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they consume collectively?","Question: To quench his appetite for oysters, Crabby has to eat at the very least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they eat combined?","Question: To appease his desire for oysters, Crabby is required to eat at least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they consume together?",A,B,A,A
John sells 20 woodburning for $15 each.  The wood cost $100.  How much does he make in profit?,"He sells the woodburning for 20*15=$<<20*15=300>>300
So he makes a profit of 300-100=$<<300-100=200>>200
#### 200",Question: John sells 20 woodburning for $15 each.  The wood cost $100.  How much does he make in profit?,"A)
Question: John trades 20 woodburning for $15 apiece. The wood expenditure is $100. How much does he earn in profit?

B)
Question: John peddles 20 woodburning for $15 individually. The timber charges $100. How much does he garner in profit?

C)
Question: John vends 20 woodburning for $15 per piece. The lumber totals $100. How much does he yield in profit?

D)
Question: John deals 20 woodburning for $15 each. The wood outlay reaches $100. How much does he accumulate in profit?",Question: John trades 20 woodburning for $15 apiece. The wood expenditure is $100. How much does he earn in profit?,Question: John peddles 20 woodburning for $15 individually. The timber charges $100. How much does he garner in profit?,Question: John vends 20 woodburning for $15 per piece. The lumber totals $100. How much does he yield in profit?,Question: John deals 20 woodburning for $15 each. The wood outlay reaches $100. How much does he accumulate in profit?,A,B,C,D
"In a field of 500 clovers, 20% have four leaves and one quarter of these are purple clovers. Assuming these proportions are exactly correct, how many clovers in the field are both purple and four-leaved?","There are 500/5= <<500/5=100>>100 four leaf clovers
There are 100/4= <<100/4=25>>25 purple four leaf clovers
#### 25","Question: In a field of 500 clovers, 20% have four leaves and one quarter of these are purple clovers. Assuming these proportions are exactly correct, how many clovers in the field are both purple and four-leaved?","A)
Question: In a pasture of 500 clovers, 20% carry four leaves and a quarter of these are purple clovers. Given these ratios are perfectly accurate, how many clovers in the pasture are both purple and four-leaved?

B)
Question: In a meadow of 500 clovers, 20% bear four leaves and one fourth of these are purple clovers. Presuming these percentages are entirely precise, how many clovers in the meadow are both purple and four-leaved?

C)
Question: In an area of 500 clovers, 20% possess four leaves and one segment of these are purple clovers. Assuming these proportions are absolutely correct, how many clovers in the area are both purple and four-leaved?

D)
Question: In a piece of land with 500 clovers, 20% exhibit four leaves and a part of these are purple clovers. Maintaining these ratios are completely accurate, how many clovers in the land are both purple and four-leaved?","Question: In a pasture of 500 clovers, 20% carry four leaves and a quarter of these are purple clovers. Given these ratios are perfectly accurate, how many clovers in the pasture are both purple and four-leaved?","Question: In a meadow of 500 clovers, 20% bear four leaves and one fourth of these are purple clovers. Presuming these percentages are entirely precise, how many clovers in the meadow are both purple and four-leaved?","Question: In an area of 500 clovers, 20% possess four leaves and one segment of these are purple clovers. Assuming these proportions are absolutely correct, how many clovers in the area are both purple and four-leaved?","Question: In a piece of land with 500 clovers, 20% exhibit four leaves and a part of these are purple clovers. Maintaining these ratios are completely accurate, how many clovers in the land are both purple and four-leaved?",A,A,A,D
"Tony lifts weights as a form of exercise.  He can lift 90 pounds with one arm in the exercise known as ""the curl.""  In an exercise known as ""the military press,"" he can lift over his head twice the weight that he can curl.  His favorite exercise is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press.  How much weight, in pounds, can Tony lift in the squat exercise?","If Tony can curl 90 pounds, he can military press 2*90=<<90*2=180>>180 pounds.
Therefore, Tony can squat 5*180=<<5*180=900>>900 pounds.
#### 900","Question: Tony lifts weights as a form of exercise.  He can lift 90 pounds with one arm in the exercise known as ""the curl.""  In an exercise known as ""the military press,"" he can lift over his head twice the weight that he can curl.  His favorite exercise is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press.  How much weight, in pounds, can Tony lift in the squat exercise?","A)
Question: Tony hoists weights as a form of workout. He can hoist 90 pounds with one arm in the workout known as ""the curl."" In a workout known as ""the military press,"" he can hoist over his head twice the weight that he can curl. His favorite workout is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press. How much weight, in pounds, can Tony hoist in the squat exercise?

B)
Question: Tony elevates weights as a form of fitness regimen. He can elevate 90 pounds with one arm in the regimen known as ""the curl."" In a regimen known as ""the military press,"" he can elevate over his head twice the weight that he can curl. His favorite regimen is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press. How much weight, in pounds, can Tony elevate in the squat regimen?

C)
Question: Tony raises weights as a form of physical activity. He can raise 90 pounds with one arm in the activity known as ""the curl."" In an activity known as ""the military press,"" he can raise over his head twice the weight that he can curl. His favorite activity is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press. How much weight, in pounds, can Tony raise in the squat activity?

D)
Question: Tony uplifts weights as a form of exercising. He can uplift 90 pounds with one arm in the exercising known as ""the curl."" In an exercise known as ""the military press,"" he can uplift over his head twice the weight that he can curl. His favourite exercising is known as ""the squat"" and he can squat 5 times the weight that he can uplift in the military press. How much weight, in pounds, can Tony uplift in the squat exercise?","Question: Tony hoists weights as a form of workout. He can hoist 90 pounds with one arm in the workout known as ""the curl."" In a workout known as ""the military press,"" he can hoist over his head twice the weight that he can curl. His favorite workout is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press. How much weight, in pounds, can Tony hoist in the squat exercise?","Question: Tony elevates weights as a form of fitness regimen. He can elevate 90 pounds with one arm in the regimen known as ""the curl."" In a regimen known as ""the military press,"" he can elevate over his head twice the weight that he can curl. His favorite regimen is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press. How much weight, in pounds, can Tony elevate in the squat regimen?","Question: Tony raises weights as a form of physical activity. He can raise 90 pounds with one arm in the activity known as ""the curl."" In an activity known as ""the military press,"" he can raise over his head twice the weight that he can curl. His favorite activity is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press. How much weight, in pounds, can Tony raise in the squat activity?","Question: Tony uplifts weights as a form of exercising. He can uplift 90 pounds with one arm in the exercising known as ""the curl."" In an exercise known as ""the military press,"" he can uplift over his head twice the weight that he can curl. His favourite exercising is known as ""the squat"" and he can squat 5 times the weight that he can uplift in the military press. How much weight, in pounds, can Tony uplift in the squat exercise?",A,B,C,D
"Elsa started the day with 40 marbles.  At breakfast, she lost 3 marbles while playing.  At lunchtime, she gave her best friend Susie 5 marbles.  In the afternoon, Elsa's mom bought her a new bag with 12 marbles.  Susie came back and gave Elsa twice as many marbles as she received at lunch.  How many marbles did Elsa end the day with?","Elsa had 40 marbles - 3 - 5 = <<40-3-5=32>>32 marbles.
Elsa then gained 12 marbles + 32 = <<12+32=44>>44 marbles.
At dinner Elsa received 2 * 5 marbles from Susie = <<2*5=10>>10 marbles.
In total Elsa had 44 marbles + 10 = <<44+10=54>>54 marbles.
#### 54","Question: Elsa started the day with 40 marbles.  At breakfast, she lost 3 marbles while playing.  At lunchtime, she gave her best friend Susie 5 marbles.  In the afternoon, Elsa's mom bought her a new bag with 12 marbles.  Susie came back and gave Elsa twice as many marbles as she received at lunch.  How many marbles did Elsa end the day with?","A)
Question: Elsa began the day with 40 marbles. At breakfast, she misplaced 3 marbles during play. At midday, she handed her closest friend Susie 5 marbles. In the afternoon, Elsa's mother purchased her a new bag containing 12 marbles. Susie returned and offered Elsa twice as many marbles as she was given at lunch. How many marbles did Elsa finish the day with?

B)
Question: Elsa kicked off the day with 40 marbles. At breakfast, she dropped 3 marbles when playing. At noon, she passed her best pal Susie 5 marbles. During the afternoon, Elsa's mom procured her a new bag filled with 12 marbles. Susie came back and rewarded Elsa twice as many marbles as she obtained at noon. How many marbles did Elsa close the day with?

C)
Question: Elsa initiated the day with 40 marbles. At breakfast, she lost 3 marbles whilst playing. During lunchtime, she gifted her best buddy Susie 5 marbles. In the afternoon, Elsa's mom got her a new bag stocked with 12 marbles. Susie returned and handed Elsa twice as many marbles as she was provided at lunchtime. How many marbles did Elsa wrap up the day with?

D)
Question: Elsa started off the day with 40 marbles. During breakfast, she forfeited 3 marbles while participating in a game. At lunch, she gave her top friend Susie 5 marbles. Later in the day, Elsa's mom acquired a new bag for her that held 12 marbles. Susie reappeared and gave Elsa twice the number of marbles she had received at lunch. How many marbles did Elsa end up with by the end of the day?","Question: Elsa began the day with 40 marbles. At breakfast, she misplaced 3 marbles during play. At midday, she handed her closest friend Susie 5 marbles. In the afternoon, Elsa's mother purchased her a new bag containing 12 marbles. Susie returned and offered Elsa twice as many marbles as she was given at lunch. How many marbles did Elsa finish the day with?","Question: Elsa kicked off the day with 40 marbles. At breakfast, she dropped 3 marbles when playing. At noon, she passed her best pal Susie 5 marbles. During the afternoon, Elsa's mom procured her a new bag filled with 12 marbles. Susie came back and rewarded Elsa twice as many marbles as she obtained at noon. How many marbles did Elsa close the day with?","Question: Elsa initiated the day with 40 marbles. At breakfast, she lost 3 marbles whilst playing. During lunchtime, she gifted her best buddy Susie 5 marbles. In the afternoon, Elsa's mom got her a new bag stocked with 12 marbles. Susie returned and handed Elsa twice as many marbles as she was provided at lunchtime. How many marbles did Elsa wrap up the day with?","Question: Elsa started off the day with 40 marbles. During breakfast, she forfeited 3 marbles while participating in a game. At lunch, she gave her top friend Susie 5 marbles. Later in the day, Elsa's mom acquired a new bag for her that held 12 marbles. Susie reappeared and gave Elsa twice the number of marbles she had received at lunch. How many marbles did Elsa end up with by the end of the day?",A,E,C,D
